,parcel_id,parcel_id_REMM,county_id,zone_id,parcel_acres,land_value,max_far,max_dua,has_buildings,was_developed,was_redeveloped,developable,residential_units,job_spaces,building_sqft,non_residential_sqft,residential_sqft,unit_price_non_residential,res_price_per_sqft,is_sf,is_mf,is_industrial,is_retail,is_office,is_govt,is_mixeduse,is_other,year_built,building_count,households_count,non_res_value,res_value,total_value,job_spaces_added,res_units_added,acreage_dev,acreage_redev,acreage_dev_res,acreage_redev_res,acreage_dev_nonres,acreage_redev_nonres,res_units_added_dev,res_units_added_redev,value_added_dev,value_added_redev,value_added_dev_res,value_added_dev_nonres
126510,481040,481040,57,270,0.707759903,48972.0,0.0,2.825817046,1,0,1,1.0,2.0,0.0,4624.50321,0.0,4624.50321,0.0,68.56168376041518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,317063.72663304483,366035.7266330448,0.0,1.0,,0.707759903,,0.707759903,,,,1.0,,156855.06092792485,,
126516,491477,491477,57,270,1.452537314,82695.0,0.0,2.753801889,1,0,1,1.0,4.0,0.0,9490.878811499999,0.0,9490.878811499999,0.0,65.51303797294624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,621776.3039744304,704471.3039744304,0.0,3.0,,1.452537314,,1.452537314,,,,3.0,,621776.3039744304,,
130708,546739,546739,57,173,4.67547794,101900.0,0.0,2.994346285,1,0,1,1.0,11.0,0.0,30549.572865,0.0,30549.572865,0.0,60.603793444263964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,1851420.003720951,1953320.003720951,0.0,10.0,,4.67547794,,4.67547794,,,,10.0,,1797238.0037198314,,
130715,532875,532875,57,173,0.743285715,50880.0,0.0,2.690755329,1,0,1,1.0,2.0,0.0,4856.628864,0.0,4856.628864,0.0,64.70398059556813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,314243.2197761321,365123.2197761321,0.0,1.0,,0.743285715,,0.743285715,,,,1.0,,240203.6313973721,,
130722,538490,538490,57,267,1.00022032,65000.0,0.0,2.999339185,1,0,1,1.0,3.0,0.0,6535.439571,0.0,6535.439570999999,0.0,70.88436092859338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,463260.4573777754,528260.4573777753,-1.0,2.0,,1.00022032,,1.00022032,,,,2.0,,273509.47590414534,,
130923,493830,493830,57,341,0.170384974,22000.0,0.0,11.73812431,1,0,1,1.0,2.0,0.0,2968.7877792000004,0.0,2968.7877792000004,0.0,63.017907515887956,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,187086.79370392405,209086.79370392405,0.0,1.0,,0.170384974,,0.170384974,,,,1.0,,114404.79370392405,,
131006,496490,496490,57,374,0.390341114,42480.0,0.0,7.685585487000001,1,0,1,1.0,2.0,0.0,5100.977676,0.0,5100.977676,0.0,50.5098207548758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,257649.46808938286,300129.46808938286,0.0,1.0,,0.390341114,,0.390341114,,,,1.0,,132025.51091698286,,
131145,466874,466874,57,205,1.327123111,67767.0,0.0,7.535095968999999,1,0,1,1.0,8.0,0.0,17342.844806999998,0.0,17342.844806999998,0.0,66.33113532192671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,1150370.5857602907,1218137.5857602907,0.0,6.0,,1.327123111,,1.327123111,,,,6.0,,950508.8575727608,,
131448,468863,468863,57,299,0.463632426,38148.0,0.0,6.470643188,1,0,1,1.0,3.0,0.0,5048.95712,0.0,5048.95712,0.0,75.71173068136038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,382265.2816911769,420413.2816911769,0.0,2.0,,0.463632426,,0.463632426,,,,2.0,,345182.2816945269,,
132356,485105,485105,57,221,2.832611206,59100.0,0.0,7.766685366,1,0,1,1.0,22.0,0.0,37016.56323,0.0,37016.56323,0.0,59.8570667420756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,2215702.895820372,2274802.895820372,0.0,21.0,,2.832611206,,2.832611206,,,,21.0,,2163251.895821172,,
133242,561155,561155,57,320,0.158030244,20000.0,2.0,30.0,1,0,1,1.0,5.0,0.0,10325.6961345,0.0,10325.696134499998,0.0,54.99015245649298,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,567811.6046555751,587811.6046555751,0.0,4.0,,0.158030244,,0.158030244,,,,4.0,,533348.6046576953,,
134492,533256,533256,57,347,0.472561869,39516.0,0.0,6.348375099999998,1,0,1,1.0,3.0,0.0,5146.19875,0.0,5146.19875,0.0,64.62365966838941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,332566.1966058909,372082.19660589093,0.0,2.0,,0.472561869,,0.472561869,,,,2.0,,332566.1966058909,,
134849,511940,511940,57,179,0.76603412,70640.0,0.0,2.610849764,1,0,1,1.0,2.0,0.0,5005.2669375,0.0,5005.2669375,0.0,70.65400809188895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.0,0.0,0.0,353642.1707041892,424282.1707041892,0.0,1.0,,0.76603412,,0.76603412,,,,1.0,,178708.05588354927,,
