OID_,parcel_id,max_dua,max_far,year,type1,type2,type3,type4,type5,type6,type7,type8,locnote,mponote
72,623538,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
73,578820,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
74,750704,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
75,726133,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
76,618283,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
77,634042,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
78,690630,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
79,617963,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
80,617917,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
81,579130,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
82,618249,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
86,738799,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
88,615686,2.5,0,2031,1,0,0,0,0,0,0,0,Utah County,MAG
89,602123,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
90,601529,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
91,608176,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
116,579464,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
117,579465,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
118,579421,3,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
119,579425,3,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
120,603153,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
121,622545,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
122,609662,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
123,603110,12,0,2025,1,1,0,1,1,0,0,0,Utah County,MAG
124,747627,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
125,607820,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
126,578541,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
127,657729,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
128,578753,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
129,578521,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
131,678342,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
168,752941,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
169,734633,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
170,663075,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
171,582204,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
172,733542,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
173,721829,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
174,721837,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
175,605269,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
176,644055,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
177,716127,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
178,716126,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
179,691214,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
180,694659,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
181,716632,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
182,716634,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
183,714326,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
184,611652,2.5,0,2031,1,0,0,0,0,0,0,0,Utah County,MAG
185,607567,1,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
186,602366,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
187,601867,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
188,714093,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
189,602572,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
190,719934,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
191,578943,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
192,608674,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
193,698161,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
194,578870,20,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
195,578958,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
196,612787,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
197,578971,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
198,578976,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
199,635801,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
200,579291,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
201,740834,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
202,740825,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
203,740781,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
204,750959,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
205,750765,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
206,744308,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
207,750911,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
208,740620,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
209,743522,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
210,608679,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
211,690872,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
212,579123,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
213,618912,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
214,717423,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
215,690417,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
216,618254,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
220,734324,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
221,751634,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
222,607468,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
223,679836,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
224,601848,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
225,601763,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
226,601746,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
227,608251,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
228,750950,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
250,738824,3,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
251,738784,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
253,582240,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
254,679453,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
255,603268,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
256,623165,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
257,578312,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
258,578737,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
260,730124,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
261,675496,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5018,594643,8,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5021,669507,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5022,584428,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5023,669469,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5024,669464,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5025,646569,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5026,753059,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5027,625086,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5028,675193,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5029,675192,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5030,623533,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5031,609088,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5032,716598,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5033,715321,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5034,717170,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5035,644909,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5036,644893,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5037,644906,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5038,644876,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5039,727616,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5040,612739,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5041,578685,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5042,643934,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5043,744493,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5044,744539,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5045,713663,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5046,727607,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5047,731545,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5048,601567,1,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5049,602166,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5050,672690,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5051,602617,6,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5052,689713,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5053,700682,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5054,735203,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5055,579084,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5056,634109,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5057,578956,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5058,579028,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5059,633295,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5060,634430,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5061,578552,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5062,703528,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5063,750724,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5064,579182,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
5065,721133,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
5066,686990,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
5067,686994,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
5068,750729,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5069,750914,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5070,750979,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5071,750974,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5072,740751,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
5073,726155,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5074,743492,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5075,691932,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5076,579121,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5077,690867,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5078,690411,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5079,690625,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5080,579108,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5110,579496,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5111,579502,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5112,579457,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5113,738023,3,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5116,582219,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5117,722640,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5119,603455,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5120,603214,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5121,718267,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5122,731548,1,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5123,733748,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5126,730365,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5129,609078,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5130,602140,8,0,2030,1,1,0,1,1,0,0,0,Utah County,MAG
5131,602372,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5132,601636,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5133,601765,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5168,752943,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5169,669497,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5170,582277,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5171,752611,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5172,582224,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5173,584523,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5174,646575,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5175,753030,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5176,753031,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5177,674995,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5178,751650,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5180,605313,6,0,2025,1,0,0,0,0,0,0,0,Utah County,MAG
5181,643719,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5182,644855,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5183,715324,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5184,691538,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5185,691215,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5186,644527,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5187,752132,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5188,718342,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5189,744531,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5190,716143,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5191,643323,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5192,713794,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5193,715317,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5194,643280,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5195,613201,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5196,613157,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5197,694661,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5198,728156,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5199,602397,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5200,718374,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5201,601415,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5202,601357,8,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5203,602142,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5204,601695,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5205,602560,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5206,602525,8,0,2030,1,1,0,1,1,0,0,0,Utah County,MAG
5207,602486,8,0,2030,1,1,0,1,1,0,0,0,Utah County,MAG
5208,608212,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5209,608250,2,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5210,578946,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5211,609030,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5212,578877,20,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5213,634089,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5214,578906,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5216,579040,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5217,625728,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5218,578651,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5219,664428,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5220,578999,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5221,683491,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5222,578493,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5223,683475,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5224,578512,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5225,744344,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5226,726131,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5227,743487,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5228,750972,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5229,740685,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
5230,740636,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
5231,745670,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5232,726151,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5233,690648,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5234,717548,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5235,690627,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5236,690434,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5237,690483,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5242,716633,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5244,622538,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5245,640149,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5246,608371,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5247,616096,2.5,0,2031,1,0,0,0,0,0,0,0,Utah County,MAG
5248,690949,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5249,601505,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5250,601641,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5251,745798,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5252,611343,20,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
5253,609964,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5254,740765,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
5255,745182,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
5274,579219,4,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
5276,582234,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5277,603305,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5278,603257,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5279,603275,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5281,609915,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
5282,578777,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5283,578765,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
5284,734292,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
5285,678341,12,0,2041,1,1,0,0,0,0,0,0,Utah County,MAG
10002,752936,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
10003,664568,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
10004,653449,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
10005,582195,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
10006,675035,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
10007,646576,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
10008,753048,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
10009,753062,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
10010,619133,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
10011,619129,3.5,0,2028,1,0,0,0,0,0,0,0,Lehi Low Density 28,MAG
10012,603001,8,0,2025,1,0,0,0,0,0,0,0,Utah County,MAG
10013,644310,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10014,752129,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
10015,715041,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10016,727627,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10017,714335,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10018,718339,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
10019,744021,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10020,716639,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10021,643909,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10022,727606,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10023,602394,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
10024,602332,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
10025,602315,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
10026,602267,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
10027,602246,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
10028,602218,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
10029,602431,8,0,2030,1,1,0,1,1,0,0,0,Utah County,MAG
10030,601891,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
10031,578815,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
10032,668692,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
10033,667496,3,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
10034,608391,4,0,2030,1,0,0,0,0,0,0,0,Utah County,MAG
10036,651974,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
10037,609036,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10038,636074,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10039,698159,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10040,669417,20,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
10041,578891,20,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
10042,578678,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
10043,612779,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10044,578965,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
10045,741812,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10046,578993,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
10047,613182,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10048,578492,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
10049,740700,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
10050,744369,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
10051,686993,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
10052,725301,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
10053,743486,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
10054,750921,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
10055,750138,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
10056,722382,2,0,2040,1,0,0,0,0,0,0,0,Utah County,MAG
10057,750773,24,0,2035,0,1,0,0,0,0,0,0,Utah County,MAG
10058,619411,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10059,697050,12,0,2035,1,1,0,0,0,0,0,0,Utah County,MAG
10060,690479,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
10061,690584,8,0,2035,1,0,0,0,0,0,0,0,Utah County,MAG
